amount_inr,is_business_hours,hour_of_day,action_code,geo_code,label,action_name,geo_name,predicted_label,anomaly_score,risk_score_0_100
43641.9,1,16,6,0,1,DOMESTIC_TRANSFER,"Bangalore, KA",1,0.13372249096245392,26
30216.97,1,10,4,2,1,CUSTOMER_SEARCH,"Delhi, DL",1,0.17200411935528942,16
20651.66,1,11,0,6,1,BOND_QUERY,"Mumbai, MH",1,0.11382577686354589,32
556.58,1,15,13,6,1,SEND_EMAIL,"Mumbai, MH",1,0.15239992741439673,21
6847.84,1,11,19,0,1,VIEW_RECORD,"Bangalore, KA",1,0.14474944096615422,23
6655.33,1,9,0,6,1,BOND_QUERY,"Mumbai, MH",1,0.10400981291313338,34
13415.38,1,10,4,6,1,CUSTOMER_SEARCH,"Mumbai, MH",1,0.1679052834460646,17
20789.06,1,9,18,0,1,UPDATE_RECORD,"Bangalore, KA",1,0.111171994516716,32
45962.47,1,11,0,2,1,BOND_QUERY,"Delhi, DL",1,0.10142690909010632,35
6568.79,1,9,6,6,1,DOMESTIC_TRANSFER,"Mumbai, MH",1,0.1636130604276152,18
16710.74,1,11,10,2,1,POSITION_VIEW,"Delhi, DL",1,0.21507709885868376,4
50463.16,1,13,4,0,1,CUSTOMER_SEARCH,"Bangalore, KA",1,0.11595226458285912,31
30576.01,1,10,7,6,1,LOAN_STATUS_CHECK,"Mumbai, MH",1,0.16351421398540622,18
1989.6,1,9,10,0,1,POSITION_VIEW,"Bangalore, KA",1,0.17091004052576686,16
976.62,1,14,7,0,1,LOAN_STATUS_CHECK,"Bangalore, KA",1,0.20360011583229326,7
1783.42,1,11,5,2,1,DISBURSEMENT_VIEW,"Delhi, DL",1,0.2117748670117539,5
21246.67,1,11,13,6,1,SEND_EMAIL,"Mumbai, MH",1,0.1544581149566534,21
12094.4,1,9,7,2,1,LOAN_STATUS_CHECK,"Delhi, DL",1,0.19911312668742548,9
1089.04,1,15,19,0,1,VIEW_RECORD,"Bangalore, KA",1,0.13437390899126644,26
13370.96,1,10,0,2,1,BOND_QUERY,"Delhi, DL",1,0.15859984580307873,20
2511.11,1,9,0,6,1,BOND_QUERY,"Mumbai, MH",1,0.10244888473004543,35
4747.87,1,15,5,6,1,DISBURSEMENT_VIEW,"Mumbai, MH",1,0.18266031379656344,13
6503.96,1,17,19,0,1,VIEW_RECORD,"Bangalore, KA",1,0.1063084874993403,34
21093.8,1,14,19,0,1,VIEW_RECORD,"Bangalore, KA",1,0.14860288545394773,22
52871.98,1,11,7,2,1,LOAN_STATUS_CHECK,"Delhi, DL",1,0.13768434249437578,25
11550.72,1,9,18,6,1,UPDATE_RECORD,"Mumbai, MH",1,0.1025958919415153,35
20534.38,1,15,7,6,1,LOAN_STATUS_CHECK,"Mumbai, MH",1,0.18887391688791733,11
0.26,0,6,14,5,-1,SEND_LARGE_ATTACHMENT_EXTERNAL,"Moscow, RU",-1,-0.017886179525488544,68
25274.86,1,16,5,2,1,DISBURSEMENT_VIEW,"Delhi, DL",1,0.1855030805925858,12
11879.97,1,9,6,2,1,DOMESTIC_TRANSFER,"Delhi, DL",1,0.1977989873757604,9
12602.28,1,13,13,6,1,SEND_EMAIL,"Mumbai, MH",1,0.1747955696421022,15
6554.45,1,9,6,6,1,DOMESTIC_TRANSFER,"Mumbai, MH",1,0.1636130604276152,18
12999.64,1,10,0,2,1,BOND_QUERY,"Delhi, DL",1,0.15869079492259208,20
27234.3,1,14,8,6,1,LOGIN_SUCCESS,"Mumbai, MH",1,0.1813837367563978,13
479.26,1,17,0,6,1,BOND_QUERY,"Mumbai, MH",1,0.09079646740151359,38
464.63,1,14,5,2,1,DISBURSEMENT_VIEW,"Delhi, DL",1,0.2076653809626237,6
2647.0,1,16,6,0,1,DOMESTIC_TRANSFER,"Bangalore, KA",1,0.19274404888824376,10
5850.79,1,17,5,2,1,DISBURSEMENT_VIEW,"Delhi, DL",1,0.1858416495862571,12
25635.84,1,17,7,0,1,LOAN_STATUS_CHECK,"Bangalore, KA",1,0.1501678341005136,22
4773.31,1,11,11,2,1,RATE_CHECK,"Delhi, DL",1,0.21193607838273076,5
19473.15,1,13,11,6,1,RATE_CHECK,"Mumbai, MH",1,0.18985610728848556,11
30664.24,1,10,6,6,1,DOMESTIC_TRANSFER,"Mumbai, MH",1,0.16196604160763572,19
2317.0,1,13,13,0,1,SEND_EMAIL,"Bangalore, KA",1,0.1795577182392291,14
2922.74,1,10,13,6,1,SEND_EMAIL,"Mumbai, MH",1,0.1551478179640563,21
40747.31,1,11,4,2,1,CUSTOMER_SEARCH,"Delhi, DL",1,0.15395328542046866,21
15640.9,1,16,18,2,1,UPDATE_RECORD,"Delhi, DL",1,0.15374999999875882,21
15653.72,1,17,8,0,1,LOGIN_SUCCESS,"Bangalore, KA",1,0.162077284712285,19
4900.65,1,16,10,2,1,POSITION_VIEW,"Delhi, DL",1,0.20851437219800356,6
17151.73,1,9,4,0,1,CUSTOMER_SEARCH,"Bangalore, KA",1,0.1582473943008098,20
10442.77,1,16,5,0,1,DISBURSEMENT_VIEW,"Bangalore, KA",1,0.1898881074672688,11
6088.13,1,14,13,6,1,SEND_EMAIL,"Mumbai, MH",1,0.1739192505049647,15
15397.21,1,10,11,6,1,RATE_CHECK,"Mumbai, MH",1,0.17245208960020536,16
1626.28,1,17,8,0,1,LOGIN_SUCCESS,"Bangalore, KA",1,0.16301399201512057,18
